id_city,city,lat,lon,place_id,timestamp,feels_like,humidity,rain,date,feels_like_mean,rain_mean
6,Amiens,49.8941708,2.2956951,89811884.0,1736161200,3.94,84,2.58,2025-01-06,0.41571428571428576,0.9885714285714285
6,Amiens,49.8941708,2.2956951,89811884.0,1736247600,-1.44,82,3.74,2025-01-07,0.41571428571428576,0.9885714285714285
6,Amiens,49.8941708,2.2956951,89811884.0,1736334000,2.35,81,0.6,2025-01-08,0.41571428571428576,0.9885714285714285
6,Amiens,49.8941708,2.2956951,89811884.0,1736420400,-2.19,99,0.0,2025-01-09,0.41571428571428576,0.9885714285714285
6,Amiens,49.8941708,2.2956951,89811884.0,1736506800,-0.52,93,0.0,2025-01-10,0.41571428571428576,0.9885714285714285
6,Amiens,49.8941708,2.2956951,89811884.0,1736593200,-0.4,95,0.0,2025-01-11,0.41571428571428576,0.9885714285714285
6,Amiens,49.8941708,2.2956951,89811884.0,1736679600,1.17,91,0.0,2025-01-12,0.41571428571428576,0.9885714285714285
7,Lille,50.6365654,3.0635282,92956259.0,1736161200,9.35,77,2.08,2025-01-06,2.1957142857142857,2.0057
7,Lille,50.6365654,3.0635282,92956259.0,1736247600,-2.68,93,11.45,2025-01-07,2.1957142857142857,2.0057
7,Lille,50.6365654,3.0635282,92956259.0,1736334000,1.73,79,0.25,2025-01-08,2.1957142857142857,2.0057
7,Lille,50.6365654,3.0635282,92956259.0,1736420400,1.42,72,0.23,2025-01-09,2.1957142857142857,2.0057
7,Lille,50.6365654,3.0635282,92956259.0,1736506800,0.45,76,0.029900000000000003,2025-01-10,2.1957142857142857,2.0057
7,Lille,50.6365654,3.0635282,92956259.0,1736593200,3.48,71,0.0,2025-01-11,2.1957142857142857,2.0057
7,Lille,50.6365654,3.0635282,92956259.0,1736679600,1.62,67,0.0,2025-01-12,2.1957142857142857,2.0057
8,Strasbourg,48.584614,7.7507127,110577079.0,1736161200,5.77,74,3.54,2025-01-06,1.4271428571428573,3.1496
8,Strasbourg,48.584614,7.7507127,110577079.0,1736247600,2.43,62,0.0372,2025-01-07,1.4271428571428573,3.1496
8,Strasbourg,48.584614,7.7507127,110577079.0,1736334000,-1.91,100,15.44,2025-01-08,1.4271428571428573,3.1496
8,Strasbourg,48.584614,7.7507127,110577079.0,1736420400,6.54,83,3.03,2025-01-09,1.4271428571428573,3.1496
8,Strasbourg,48.584614,7.7507127,110577079.0,1736506800,-0.14,83,0.0,2025-01-10,1.4271428571428573,3.1496
8,Strasbourg,48.584614,7.7507127,110577079.0,1736593200,0.4,71,0.0,2025-01-11,1.4271428571428573,3.1496
8,Strasbourg,48.584614,7.7507127,110577079.0,1736679600,-3.1,79,0.0,2025-01-12,1.4271428571428573,3.1496
9,Chateau du Haut Koenigsbourg,48.24941075,7.344320233724503,110834108.0,1736161200,6.65,69,7.81,2025-01-06,-0.05714285714285694,4.255057142857143
